url,slug,title,h1,meta_title,meta_description,canonical,robots,lang,hreflang_targets,word_count,template_id,cluster_guess,last_modified,has_author,has_datePublished,has_dateModified,outbound_citations_count,has_unique_diagram,has_downloadable_asset,internal_links_out,internal_links_in,id,legacy_url
https://aimoaas.com/ja/resources/pseo/ai-audit-controls-e-164/,ai-audit-controls-e-164,"AI監査・統制の実務ガイド：ISO 42001, NIST AI RMF, EU AI Act対応観点","AI監査・統制の実務ガイド：ISO 42001, NIST AI RMF, EU AI Act対応観点","AI監査・統制の実務ガイド：ISO 42001, NIST AI RMF, EU AI Act対応観点","AIシステムの監査・統制実務を支援するガイド。ISO/IEC 42001, NIST AI RMF, EU AI Actといった主要なAI規制・標準に対する「対応の観点」を整理し、必要な証跡やログ、運用記録の準備を支援します。準拠保証ではなく、Evidence readinessを高めるための具体的なヒントを提供します。",https://aimoaas.com/ja/resources/pseo/ai-audit-controls-e-164/,"noindex,follow",ja,,548,pseo-article,ai-audit,,false,false,false,8,true,true,6,0,e-164,/ja/resources/pseo/e-164/
https://aimoaas.com/ja/resources/pseo/ai-audit-controls-e-170/,ai-audit-controls-e-170,"AI監査・統制の対応観点：ISO/IEC 42001, NIST AI RMF, EU AI Act","AI監査・統制の対応観点：ISO/IEC 42001, NIST AI RMF, EU AI Act","AI監査・統制の対応観点：ISO/IEC 42001, NIST AI RMF, EU AI Act",AIMOaaSが提供するAI監査・統制の「対応観点」を解説。ISO/IEC 42001、NIST AI RMF、EU AI Actといった主要規制・標準への対応を、証跡・運用面から整理する支援を提供します。準拠を観点の整理・支援であり、保証は行いませんものではなく、組織のEvidence readiness向上に貢献します。,https://aimoaas.com/ja/resources/pseo/ai-audit-controls-e-170/,"noindex,follow",ja,,508,pseo-article,ai-audit,,false,false,false,8,true,true,6,0,e-170,/ja/resources/pseo/e-170/
https://aimoaas.com/ja/resources/pseo/ai-audit-controls-evidence-pack-minimum/,ai-audit-controls-evidence-pack-minimum,AIMOaaS 監査・統制向け：証拠提出の最小要件とEvidence Bundle,AIMOaaS 監査・統制向け：証拠提出の最小要件とEvidence Bundle,AIMOaaS 監査・統制向け：証拠提出の最小要件とEvidence Bundle,AIMO Standardに基づき、監査や規制対応に必要なEvidence Bundleの構造、最小要件、よくある欠落と是正の観点を整理。効果的な証拠準備を支援します。,https://aimoaas.com/ja/resources/pseo/ai-audit-controls-evidence-pack-minimum/,"index,follow",ja,,613,pseo-article,evidence-pack,,false,false,false,2,true,true,6,0,evidence-pack-minimum,/ja/resources/pseo/evidence-pack-minimum/
https://aimoaas.com/ja/resources/pseo/ai-audit-controls-inventory-continuous-audit-workflow/,ai-audit-controls-inventory-continuous-audit-workflow,AI利用の継続監査フローと棚卸サイクル：効果的な統制実務,AI利用の継続監査フローと棚卸サイクル：効果的な統制実務,AI利用の継続監査フローと棚卸サイクル：効果的な統制実務,AI利用の申請から審査、更新、棚卸、そして継続的な監査フローまで、AIMOaaSが提供する実務観点を解説。効果的な統制と証跡整備のサイクルを確立し、規制・監査要請に対応するためのポイントを整理します。,https://aimoaas.com/ja/resources/pseo/ai-audit-controls-inventory-continuous-audit-workflow/,"index,follow",ja,,533,pseo-article,inventory-review,,false,false,false,2,true,true,6,0,continuous-audit-workflow,/ja/resources/pseo/continuous-audit-workflow/
https://aimoaas.com/ja/resources/pseo/ai-audit-evidence-pack-a-102/,ai-audit-evidence-pack-a-102,AI監査向け証拠パック・提出物目次と最小要件の観点,AI監査向け証拠パック・提出物目次と最小要件の観点,AI監査向け証拠パック・提出物目次と最小要件の観点,AIMOaaSは、AI監査・規制対応における証拠パック（Evidence Bundle）の提出物構成、目次、形式、保持期間に関する観点を提供。AIMO Standardに基づき、最小限の証拠で複数規制に対応するための整理を支援します。,https://aimoaas.com/ja/resources/pseo/ai-audit-evidence-pack-a-102/,"noindex,follow",ja,,613,pseo-article,evidence-pack,,false,false,false,2,true,true,6,0,a-102,/ja/resources/pseo/a-102/
https://aimoaas.com/ja/resources/pseo/ai-audit-monitoring-inventory-inventory-review-cycle/,ai-audit-monitoring-inventory-inventory-review-cycle,AI利用の棚卸・継続監査・定期レビュー実践ガイド,AI利用の棚卸・継続監査・定期レビュー実践ガイド,AI利用の棚卸・継続監査・定期レビュー実践ガイド,AI利用における申請から更新、棚卸、継続監査までの運用サイクルを詳細に解説。RACI、よくある欠落、監査質問と証跡の観点を整理し、統制強化とリスク管理を支援します。組織の特性に合わせた運用設計を支援するための具体的な指針を提供します。,https://aimoaas.com/ja/resources/pseo/ai-audit-monitoring-inventory-inventory-review-cycle/,"index,follow",ja,,573,pseo-article,inventory-review,,false,false,false,2,true,true,5,99,inventory-review-cycle,/ja/resources/pseo/inventory-review-cycle/
https://aimoaas.com/ja/resources/pseo/ai-governance-audit-evidence-controls-workflow-coverage-map/,ai-governance-audit-evidence-controls-workflow-coverage-map,"AI規制・標準対応Coverage Map: ISO 42001, NIST AI RMF, EU AI Act 観点","AI規制・標準対応Coverage Map: ISO 42001, NIST AI RMF, EU AI Act 観点","AI規制・標準対応Coverage Map: ISO 42001, NIST AI RMF, EU AI Act 観点",AIMOaaSのCoverage Mapは、ISO/IEC 42001、NIST AI RMF、EU AI Actといった主要なAI規制・標準への対応観点を整理し、Evidence readinessを支援します。準拠保証ではなく、監査・統制の実務における観点整理に焦点を当てています。,https://aimoaas.com/ja/resources/pseo/ai-governance-audit-evidence-controls-workflow-coverage-map/,"noindex,follow",ja,,498,pseo-article,coverage-map,,false,false,false,8,true,true,6,0,coverage-map,/ja/resources/pseo/coverage-map/
https://aimoaas.com/ja/resources/pseo/evidence-pack-ai-audit-a-112/,evidence-pack-ai-audit-a-112,AIMOaaSの監査提出物：Evidence Packの形式と構成観点,AIMOaaSの監査提出物：Evidence Packの形式と構成観点,AIMOaaSの監査提出物：Evidence Packの形式と構成観点,AIMOaaSは、AIシステムの監査提出物であるEvidence Packの形式と構成に関する観点をAIMO Standardに基づき整理。規制や監査方針に合わせた証跡の準備を支援し、適切な情報管理と提出を促します。監査の効率化と品質向上に貢献するガイダンスを提供します。,https://aimoaas.com/ja/resources/pseo/evidence-pack-ai-audit-a-112/,"noindex,follow",ja,,640,pseo-article,evidence-pack,,false,false,false,2,true,true,6,0,a-112,/ja/resources/pseo/a-112/
https://aimoaas.com/ja/resources/pseo/evidence-pack-ai-audit-controls-a-110/,evidence-pack-ai-audit-controls-a-110,AIMOaaS 監査・統制実務：証拠パック提出物と目次ガイド,AIMOaaS 監査・統制実務：証拠パック提出物と目次ガイド,AIMOaaS 監査・統制実務：証拠パック提出物と目次ガイド,AIMO Standardに基づく監査・統制向け証拠パック提出物の構造、目次、形式、保持期間に関する観点を整理し、実務的な指針を提供。効率的な証跡準備を通じて、監査対応の確実性を高め、規制遵守とリスク軽減を支援します。,https://aimoaas.com/ja/resources/pseo/evidence-pack-ai-audit-controls-a-110/,"noindex,follow",ja,,611,pseo-article,evidence-pack,,false,false,false,2,true,true,6,0,a-110,/ja/resources/pseo/a-110/
https://aimoaas.com/ja/resources/pseo/evidence-pack-ai-audit-controls-a-114/,evidence-pack-ai-audit-controls-a-114,AIMOaaS 監査・統制実務：証拠パックと提出物、目次の観点整理,AIMOaaS 監査・統制実務：証拠パックと提出物、目次の観点整理,AIMOaaS 監査・統制実務：証拠パックと提出物、目次の観点整理,AIMO Standardに基づいたEvidence Bundleの構造を解説。監査・規制対応に向けた証拠パックの目次、形式、最小要件、よくある欠落と是正の観点を整理します。提出物の効率的な準備を支援し、様々な監査要求に柔軟に対応するためのフレームワークを提供します。,https://aimoaas.com/ja/resources/pseo/evidence-pack-ai-audit-controls-a-114/,"noindex,follow",ja,,611,pseo-article,evidence-pack,,false,false,false,2,true,true,6,0,a-114,/ja/resources/pseo/a-114/
